no;Tanggal;IHK
1;01/01/2014;113
2;01/02/2014;112
3;01/03/2014;112
4;01/04/2014;112
5;01/05/2014;112
6;01/06/2014;113
7;01/07/2014;114
8;01/08/2014;115
9;01/09/2014;115
10;01/10/2014;116
11;01/11/2014;118
12;01/12/2014;121
13;01/01/2015;120
14;01/02/2015;119
15;01/03/2015;119
16;01/04/2015;120
17;01/05/2015;121
18;01/06/2015;122
19;01/07/2015;123
20;01/08/2015;124
21;01/09/2015;123
22;01/10/2015;122
23;01/11/2015;123
24;01/12/2015;125
25;01/01/2016;126
26;01/02/2016;126
27;01/03/2016;127
28;01/04/2016;126
29;01/05/2016;126
30;01/06/2016;127
31;01/07/2016;128
32;01/08/2016;129
33;01/09/2016;130
34;01/10/2016;132
35;01/11/2016;133
36;01/12/2016;133
37;01/01/2017;133
38;01/02/2017;133
39;01/03/2017;132
40;01/04/2017;132
41;01/05/2017;132
42;01/06/2017;132
43;01/07/2017;132
44;01/08/2017;134
45;01/09/2017;135
46;01/10/2017;136
47;01/11/2017;136
48;01/12/2017;137
49;01/01/2018;138
50;01/02/2018;137
51;01/03/2018;138
52;01/04/2018;138
53;01/05/2018;136
54;01/06/2018;136
55;01/07/2018;137
56;01/08/2018;137
57;01/09/2018;137
58;01/10/2018;139
59;01/11/2018;138
60;01/12/2018;138
61;01/01/2019;139
62;01/02/2019;138
63;01/03/2019;139
64;01/04/2019;141
65;01/05/2019;143
66;01/06/2019;145
67;01/07/2019;146
68;01/08/2019;147
69;01/09/2019;144
70;01/10/2019;143
71;01/11/2019;142
72;01/12/2019;142
73;01/01/2020;102.95
74;01/02/2020;103.09
75;01/03/2020;102.89
76;01/04/2020;102.60
77;01/05/2020;103.03
78;01/06/2020;102.94
79;01/07/2020;102.72
80;01/08/2020;102.76
81;01/09/2020;102.71
82;01/10/2020;103.17
83;01/11/2020;102.48
84;01/12/2020;104.15
85;01/01/2021;104.55
86;01/02/2021;104.21
87;01/03/2021;104.18
88;01/04/2021;104.22
89;01/05/2021;104.47
90;01/06/2021;104.50
91;01/07/2021;104.82
92;01/08/2021;104.71
93;01/09/2021;105.03
94;01/10/2021;104.98
95;01/11/2021;105.46
96;01/12/2021;105.92
97;01/01/2022;107.02
98;01/02/2022;106.72
99;01/03/2022;107.45
100;01/04/2022;107.91
101;01/05/2022;108.73
102;01/06/2022;110.24
103;01/07/2022;110.54
104;01/08/2022;110.26
105;01/09/2022;111.34
106;01/10/2022;110.82
107;01/11/2022;110.68
108;01/12/2022;112.38
109;01/01/2023;113.35
110;01/02/2023;112.92
111;01/03/2023;112.58
112;01/04/2023;112.36
113;01/05/2023;112.63
114;01/06/2023;112.96
115;01/07/2023;113.28
116;01/08/2023;113.21
117;01/09/2023;113.64
118;01/10/2023;113.59
119;01/11/2023;114.15
120;01/12/2023;114.84
121;01/01/2024;105.09
122;01/02/2024;105.47
123;01/03/2024;106.24
124;01/04/2024;106.21
125;01/05/2024;106.84
126;01/06/2024;106.36
127;01/07/2024;105.68
128;01/08/2024;105.47
129;01/09/2024;105.29
130;01/10/2024;105.40
131;01/11/2024;105.92
132;01/12/2024;106.77
133;01/01/2025;106.79
134;01/02/2025;105.95
135;01/03/2025;106.64
136;01/04/2025;108.04
137;01/05/2025;107.52
138;01/06/2025;107.44
139;01/07/2025;108.06
140;01/08/2025;109.34
141;01/09/2025;109.97
142;01/10/2025;109.91
143;01/11/2025;109.74
144;01/12/2025;111.43
145;01/01/2026;110.74
146;01/02/2026;111.10
147;01/03/2026;111.09
148;01/04/2026;111.66
149;01/05/2026;112.24
